antecedents,consequents,support,confidence,lift
"HeartDiseaseorAttack, HighBP","Stroke, HighChol",0.010801589339414486,0.13956365272154747,4.823142681006152
"Stroke, HighChol","HeartDiseaseorAttack, HighBP",0.010801589339414486,0.37328921642352236,4.823142681006152
"HighBP, Stroke","HeartDiseaseorAttack, HighChol",0.010801589339414486,0.3258500722069056,4.511306588044525
"HeartDiseaseorAttack, HighChol","HighBP, Stroke",0.010801589339414486,0.14954509851177925,4.5113065880445244
HeartDiseaseorAttack,"HighBP, Stroke, HighChol",0.010801589339414486,0.10465067251338703,4.416296819246756
"HighBP, Stroke, HighChol",HeartDiseaseorAttack,0.010801589339414486,0.4558310376492195,4.416296819246756
"Stroke, HighChol",HeartDiseaseorAttack,0.012329130781048041,0.42607910964054746,4.128046713003948
HeartDiseaseorAttack,"Stroke, HighChol",0.012329130781048041,0.11945018341274191,4.128046713003948
"HeartDiseaseorAttack, HighBP, HighChol",Stroke,0.010801589339414486,0.18344419807834442,4.098793395433689
Stroke,"HeartDiseaseorAttack, HighBP, HighChol",0.010801589339414486,0.2413457798521976,4.098793395433689
"HighBP, Stroke",HeartDiseaseorAttack,0.013917599801550171,0.4198503347774714,4.067699530948356
HeartDiseaseorAttack,"HighBP, Stroke",0.013917599801550171,0.13483998819412235,4.067699530948356
Stroke,"HeartDiseaseorAttack, HighBP",0.013917599801550171,0.31096849474912486,4.017917886411868
"HeartDiseaseorAttack, HighBP",Stroke,0.013917599801550171,0.17982456140350878,4.017917886411868
Stroke,"HeartDiseaseorAttack, HighChol",0.012329130781048041,0.2754764683002723,3.8138975936919244
"HeartDiseaseorAttack, HighChol",Stroke,0.012329130781048041,0.17069349882508889,3.8138975936919244
HeartDiseaseorAttack,Stroke,0.017129353601907902,0.16595690854661213,3.708065383386725
Stroke,HeartDiseaseorAttack,0.017129353601907902,0.3827304550758459,3.7080653833867245
"HeartDiseaseorAttack, Stroke","HighBP, HighChol",0.010801589339414486,0.6305894308943091,2.3266984074173878
"HighBP, HighChol","HeartDiseaseorAttack, Stroke",0.010801589339414486,0.03985483974564841,2.3266984074173878
HeartDiseaseorAttack,"HighBP, HighChol",0.05888215300655842,0.5704768731289792,2.1048999034050033
"HighBP, HighChol",HeartDiseaseorAttack,0.05888215300655842,0.21725865501959024,2.1048999034050033
"HighBP, HighChol",Stroke,0.023696476209956435,0.08743336116642045,1.953571097061577
Stroke,"HighBP, HighChol",0.023696476209956435,0.5294632438739789,1.953571097061577
HighBP,"HeartDiseaseorAttack, Stroke, HighChol",0.010801589339414486,0.023768937580203407,1.927868071343706
"HeartDiseaseorAttack, Stroke, HighChol",HighBP,0.010801589339414486,0.8761030709495236,1.927868071343706
HighBP,"Stroke, HighChol",0.023696476209956435,0.052144184175748405,1.8020368151733561
"Stroke, HighChol",HighBP,0.023696476209956435,0.8189201383666717,1.8020368151733561
"HeartDiseaseorAttack, HighChol",HighBP,0.05888215300655842,0.8152075676327049,1.7938672894429388
HighBP,"HeartDiseaseorAttack, HighChol",0.05888215300655842,0.12957039704276876,1.7938672894429386
HighBP,"HeartDiseaseorAttack, Stroke",0.013917599801550171,0.03062573021010898,1.7879092767807552
"HeartDiseaseorAttack, Stroke",HighBP,0.013917599801550171,0.8125,1.787909276780755
HighChol,"HeartDiseaseorAttack, HighBP, Stroke",0.010801589339414486,0.024451274776372305,1.7568600279517215
"HeartDiseaseorAttack, HighBP, Stroke",HighChol,0.010801589339414486,0.7761100687929957,1.7568600279517215
"HeartDiseaseorAttack, HighBP",HighChol,0.05888215300655842,0.7607962213225372,1.7221944726692864
HighChol,"HeartDiseaseorAttack, HighBP",0.05888215300655842,0.13328998699609884,1.7221944726692864
HeartDiseaseorAttack,HighBP,0.0773954330427668,0.7498418855673146,1.6500298625533232
HighBP,HeartDiseaseorAttack,0.0773954330427668,0.17030893872938652,1.650029862553323
Stroke,HighBP,0.03314895487442391,0.7406651108518086,1.6298363356059016
HighBP,Stroke,0.03314895487442391,0.07294439868993124,1.6298363356059016
"HeartDiseaseorAttack, Stroke",HighChol,0.012329130781048041,0.7197662601626017,1.6293160246130627
HighChol,"HeartDiseaseorAttack, Stroke",0.012329130781048041,0.02790913031485203,1.6293160246130627
"HighBP, Stroke",HighChol,0.023696476209956435,0.7148483654982276,1.6181835153145392
HighChol,"HighBP, Stroke",0.023696476209956435,0.05364109232769831,1.618183515314539
HighChol,HeartDiseaseorAttack,0.07222964474869549,0.16350435433660399,1.58410397789852
HeartDiseaseorAttack,HighChol,0.07222964474869549,0.699793397141291,1.58410397789852
HighChol,Stroke,0.028936247992653874,0.06550222642550341,1.4635518368610072
Stroke,HighChol,0.028936247992653874,0.646538311940879,1.463551836861007
HighBP,HighChol,0.2710232786870977,0.5963877343854743,1.3500272884386322
HighChol,HighBP,0.2710232786870977,0.6135082949127162,1.3500272884386322
